pc,computer
uni,university
gre,graduate record examinations
smartphone,phone
ai,artificial intelligence
grad,graduate
grads,graduate
vpn,virtual private network
vpns,virtual private network
us,united state
gst,goods and services tax
bjp,bharatiya janata party
inr,indian rupee
nitk,national institute of technology karnataka
capm,capital asset pricing model
pls,please
irctc,indian railway catering and tourism corporation
tqwl,tatkal waitlisted tickets
cgpa,cumulative grade point average
gpa,grade point average
ipcc,intergovernmental panel on climate change
dlc,downloadable content
gta,grand theft auto
telecoms,telecommunication
telecom,telecommunication
app,a[[;ocatopm
erp,enterprise resource planning
seo,search engine optimization
atms,automated teller machine
atm,automated teller machine
pcs,computer
vc,venture capital
vcs,venture capital
dev,development
tv,television
&,and
mnc,a multinational corporation
prof,professor
uk,united kingdom
u.s.,united state
jtt,joint entrance examination
ui,user interface
ux,user experience
btech,bachelor of technology
bba,bachelor of business administration
tech,technology
passcode,password
kpop,Korean popular music
ca,continuous assessment
